experiment,run_id,backend,method,runtime_seconds,final_online_preupdate_residual,num_epochs,batch_size,position_seed,data_seed,reconstruction_seed,phase_rmse_rad,object_nmse,object_magnitude_nrmse,probe_nmse,frozen_noisy_amplitude_mse,frozen_noiseless_amplitude_mse
synthetic_overlap_075_eta_0p05,20260902T225848_167315Z,MPS,rPIE,783.3396412080001,0.04992522671818733,3000,81,42,42,21,0.13342324245496834,0.02991157331755537,0.11438759706684962,1.0348255411783853,0.04730586144674577,0.03783559138092978
synthetic_overlap_075_eta_0p05,20260902T225848_167315Z,MPS,LSQML,721.5393043340009,0.05631576478481293,3000,81,42,42,21,0.1550318079467219,0.040969216089385786,0.13763514436372223,1.374855753580729,0.05462835713796627,0.04441084634348312
synthetic_overlap_075_eta_0p05,20260902T225848_167315Z,MPS,GM-rPIE,545.0242143750002,0.03536713123321533,3000,81,42,42,21,0.0909234404838037,0.01157908848328255,0.06285624596144916,0.00017676559587319693,0.028765758097209534,0.018726171323094398
synthetic_overlap_075_eta_0p05,20260902T225848_167315Z,MPS,GM-MAGPIE,1002.9685523749977,0.015934579074382782,3000,81,42,42,21,0.060779005419245226,0.005585834066966627,0.044296655977666945,0.0001279056817293167,0.014684978568529199,0.005405556859254866
synthetic_overlap_075_eta_0p5,20260905T060141_978194Z,CUDA,rPIE,219.8081029059831,0.14659352600574493,3000,81,42,42,21,0.17769310021338838,0.049858017297406076,0.14818559405538417,1.1864492797851562,0.14155587457014387,0.0601755941395978
synthetic_overlap_075_eta_0p5,20260905T060141_978194Z,CUDA,LSQML,329.3207702389918,0.15481001138687134,3000,81,42,42,21,0.2058552323563343,0.06552177372500721,0.17518212674208036,1.4516762288411458,0.15196044624457156,0.06342339433826666
synthetic_overlap_075_eta_0p5,20260905T060141_978194Z,CUDA,GM-rPIE,267.26263975107577,0.1408480703830719,3000,81,42,42,21,0.19143722244663525,0.051711046204295195,0.1352557531892849,0.9273990885416666,0.13795401724178566,0.05634343142334258
synthetic_overlap_075_eta_0p5,20260905T060141_978194Z,CUDA,GM-MAGPIE,364.2070571249351,0.12365172803401947,3000,81,42,42,21,0.13646602433009142,0.025773783545685675,0.09070751246544437,0.014225169817606608,0.11813001207157864,0.03364656909849501
synthetic_overlap_075_eta_1,20260905T060858_497963Z,CUDA,rPIE,218.3308827939909,0.24231910705566406,3000,81,42,42,21,0.21415098512479952,0.06839088007738277,0.17441252192275103,1.3806850179036458,0.2343747180415175,0.08247316860941895
synthetic_overlap_075_eta_1,20260905T060858_497963Z,CUDA,LSQML,317.44063258799724,0.25242310762405396,3000,81,42,42,21,0.24545451050705533,0.08858550949400022,0.20395136607987033,1.531095987955729,0.24839063538646752,0.08295231375662313
synthetic_overlap_075_eta_1,20260905T060858_497963Z,CUDA,GM-rPIE,259.1253465791233,0.2330016791820526,3000,81,42,42,21,0.20953769163318545,0.0616390451829088,0.1566277797616883,1.0707069905598958,0.22904267963938196,0.07712094486828966
synthetic_overlap_075_eta_1,20260905T060858_497963Z,CUDA,GM-MAGPIE,356.2253029218409,0.2406781017780304,3000,81,42,42,21,0.17154233882648975,0.04092883090110815,0.11974455986507238,0.07784581502278645,0.2282491819248908,0.06945201034310669
