experiment,run_id,backend,method,runtime_seconds,final_online_preupdate_residual,num_epochs,batch_size,position_seed,data_seed,reconstruction_seed,phase_rmse_rad,object_nmse,object_magnitude_nrmse,probe_nmse,frozen_noisy_amplitude_mse,frozen_noiseless_amplitude_mse
synthetic_overlap_050_eta_0p05,20260905T023244_067195Z,MPS,rPIE,141.95314020800015,0.013032880611717701,3000,81,42,42,21,0.2399318775463227,0.07538141198924053,0.14685248893266592,0.1341015879313151,0.013495139893505818,0.014974769428942967
synthetic_overlap_050_eta_0p05,20260905T023244_067195Z,MPS,LSQML,244.05715529100053,0.014737355522811413,3000,81,42,42,21,0.26082531179082036,0.08957258034752708,0.1649311965278198,0.12610799153645832,0.015083198623573083,0.01615242609940296
synthetic_overlap_050_eta_0p05,20260905T023244_067195Z,MPS,GM-rPIE,211.4845272499997,0.016757043078541756,3000,81,42,42,21,0.26522572746281364,0.09968971795669124,0.20149656244093608,0.12521336873372396,0.016540605319005492,0.018029060204567796
synthetic_overlap_050_eta_0p05,20260905T023244_067195Z,MPS,GM-MAGPIE,285.2108284999995,0.013655945658683777,3000,81,42,42,21,0.2097519566435594,0.06588337471588757,0.16283420337954224,0.09832100550333658,0.013889815964516054,0.015441128641308968
synthetic_overlap_0625_eta_0p05,20260904T190208_279443Z,MPS,rPIE,190.23171133399592,0.02149972692131996,3000,81,42,42,21,0.17148536169163633,0.03980706951674459,0.10829422882966255,0.36230911254882814,0.021106293812414096,0.016989388589729797
synthetic_overlap_0625_eta_0p05,20260904T190208_279443Z,MPS,LSQML,326.7639256250113,0.02443533204495907,3000,81,42,42,21,0.193678746272749,0.05064649506645989,0.12349220111182027,0.33772791544596353,0.024074348098176147,0.019378860363919722
synthetic_overlap_0625_eta_0p05,20260904T190208_279443Z,MPS,GM-rPIE,280.05144054199627,0.02097228169441223,3000,81,42,42,21,0.13951381116224792,0.029438710114661742,0.11165085901309145,0.03728297551472982,0.018973038426360892,0.014147086470863088
synthetic_overlap_0625_eta_0p05,20260904T190208_279443Z,MPS,GM-MAGPIE,317.2098153750121,0.01848527416586876,3000,81,42,42,21,0.1358544208156375,0.027776822877167942,0.10608018212963863,0.020747464497884116,0.017242762750785085,0.012720456475157798
synthetic_overlap_075_eta_0p05,20260902T225848_167315Z,MPS,rPIE,783.3396412080001,0.04992522671818733,3000,81,42,42,21,0.13342324245496834,0.02991157331755537,0.11438759706684962,1.0348255411783853,0.04730586144674577,0.03783559138092978
synthetic_overlap_075_eta_0p05,20260902T225848_167315Z,MPS,LSQML,721.5393043340009,0.05631576478481293,3000,81,42,42,21,0.1550318079467219,0.040969216089385786,0.13763514436372223,1.374855753580729,0.05462835713796627,0.04441084634348312
synthetic_overlap_075_eta_0p05,20260902T225848_167315Z,MPS,GM-rPIE,545.0242143750002,0.03536713123321533,3000,81,42,42,21,0.0909234404838037,0.01157908848328255,0.06285624596144916,0.00017676559587319693,0.028765758097209534,0.018726171323094398
synthetic_overlap_075_eta_0p05,20260902T225848_167315Z,MPS,GM-MAGPIE,1002.9685523749977,0.015934579074382782,3000,81,42,42,21,0.060779005419245226,0.005585834066966627,0.044296655977666945,0.0001279056817293167,0.014684978568529199,0.005405556859254866
